,B3LYP,,SVWN,error,,fitted SVWN,error
HNC,5.251733258,,7.659308917,2.407575658,,7.051485547,1.799752288
CO2,4.631959668,,6.916764153,2.284804484,,6.238109988,1.606150319
N2O,6.727210878,,9.468997929,2.74178705,,8.326409195,1.599198316
H2,0,,0,0,,0,0
O3,8.721524614,,11.81349265,3.09196804,,9.746212609,1.024687994
C2H2,6.065713359,,8.801564204,2.735850844,,8.008300494,1.942587134
CH3OH,0.485021067,,0.78177196,0.296750893,,0.489801136,0.004780069
H2O,0,,0,0,,0,0
CH4,0,,0,0,,0,0
NH3,0,,0,0,,0,0
C2H6,0.325996026,,0.417253412,0.091257386,,0.256102608,-0.069893418
CO,5.477616542,,8.14867326,2.671056717,,7.341181508,1.863564965
C2H4,2.504592852,,3.524879263,1.020286411,,3.358078335,0.853485483
HCN,5.163199625,,7.533468088,2.370268462,,6.91342589,1.750226264
N2,5.801777183,,8.563833291,2.762056107,,7.595651316,1.793874132
,,,,,,,
average error,,,,1.498244137,,,0.944560903
