
C2H2	-251.494115923	-305.060064396	53.5659484731
C2H4	-270.688542704	-334.639969763	63.951427059
C2H6	-288.500445804	-362.671628699	74.1711828951
CH3OH	-341.371479846	-411.125610468	69.7541306224
CH4	-152.229874052	-193.928707258	41.698833206
CO	-305.112271823	-354.414863679	49.3025918563
CO2	-495.584555558	-573.204639545	77.6200839865
H2	-15.6333062739	-24.9296832088	9.29637693489
H2O	-205.259933135	-242.616387555	37.3564544209
HCN	-276.891990253	-328.667128405	51.7751381523
HNC	-276.80345662	-328.529068748	51.7256121281
N2	-300.748773291	-350.497092384	49.7483190926
N2O	-489.449966457	-567.453038851	78.0030723935
NH3	-176.725234648	-216.440896663	39.7156620143
O3	-560.158355969	-643.31390043	83.1555444609
